Feature,GridRef,Town,Address,OperatorName,Stone,Age,Geology,Operator,Tel,Fax,Email,Web
Abbey Quarry (Farrington Lane),ST 652 437,Doulting,"Farrington Lane, Doulting, SHEPTON MALLET, Somerset","Ham & Doulting Stone Co., Ltd.",Ooidal limestone,Jurassic,Inferior Oolite Group,"Ham & Doulting Stone Co., Ltd., Tout Quarry, Chessels Lane, Charlton Adam, SOMERTON, Somerset, TA11 7AN",01458 223166,,info@hamanddoultingstone.com,https://www.hamanddoultingstone.com/
"Admiralty Quarry (Waycroft, Independent & Admiralty)",SY 695 730,Easton,"Eastern Street, Easton, PORTLAND, Dorset",G Crook & Sons,"Limestone, grey to creamy white",Jurassic,Portland Stone Formation,"G Crook & Sons, Lower Glebe Farm, West Knighton, DORCHESTER, Dorset, DT2 8PE",01305 852064,01305 854144,enquiries@gcrookandsons.co.uk,http://www.gcrookandsons.co.uk/
Ashen Cross Quarry,ST 495 274,Somerton,"Catsgore Road, SOMERTON, Somerset, TA11 7JW",A R Purnell Ltd.,Limestone,Triassic–Jurassic,Blue Lias Formation,"A R Purnell Ltd, Ashen Cross Quarry, Catsgore Road, SOMERTON, Somerset, TA11 7JW",01458 274587,,sales@arpurnell.co.uk,https://arpurnell.co.uk/
Belle Vue Farm Quarry,SZ 014 773,Swanage,"Belle Vue Farm, SWANAGE, Dorset",Haysom Purbeck Stone,Limestone,Cretaceous,"Stair Hole Member, Durlston Formation (Purbeck Stone)","Haysom Purbeck Stone, Kingston Road, Langton Matravers, SWANAGE, Dorset, BH19 3JP",01929 439205,01929 439268,haysom@purbeckstone.co.uk,https://purbeckstone.co.uk/
Blacklands Quarry,SY 990 778,Langton Matravers,"Acton, Langton Matravers, SWANAGE, Dorset, BH19 3LD",H F Bonfield & Son,Limestone,Cretaceous,"Stair Hole Member, Durlston Formation (Purbeck Stone)","H F Bonfield & Son, Blacklands Quarry, Acton, Langton Matravers, SWANAGE, Dorset, BH19 3LD",01929 439315,01929 439233,stan@hfbonfieldandson.co.uk,http://www.naturalpurbeckstone.co.uk/
Bowden’s Lane Quarry (Boden’s Lane),ST 416 285,Langport,"Bowden’s Lane, LANGPORT, Somerset",Lovell Stone Group Ltd.,Limestone,Triassic–Jurassic,"Langport Member (White Lias), Lilstock Formation; Blue Lias Formation","Lovell Stone Group Ltd., Downs Quarry, Kingston Road, Worth Matravers, SWANAGE, Dorset, BH19 3JP",08006 408793,,sales@lovellstone.com ,https://www.lovellstonegroup.com/quarry/somerset-lias
Bowers Mine (Bowers),SY 684 720,Portland,"Wide Street, PORTLAND, Dorset,",Albion Stone Plc,"Limestone, blue-grey hard",Jurassic,Portland Stone Formation,"Albion Stone PLC, Independent Offices, Easton Street, Portland, Dorset, DT5 1BW",01305 860369,01305 860379,enquiries@albionstone.com,https://www.albionstone.com/
"Broadcroft Quarry (Portland, Yeolands)",SY 700 718,Isle of Portland,"99 Easton Street, PORTLAND, Dorset, DT5 1BP",Stone Firms Ltd.,Limestone,Jurassic,"Portland Freestone Member, Portland Stone Formation (Broadcroft Whitbed)","Portland Stone Firms Ltd, 99 Easton Street, Portland, Dorset, DT5 1BP",01305 820331,01305 822935,sales@stonefirms.com,https://www.stonefirms.com/
Broadmead Quarry,SY 985 786,Langton Matravers,"Acton, Langton Matravers, SWANAGE, Dorset",Haysom Purbeck Stone,Limestone,Cretaceous,"Stair Hole Member, Durlston Formation (Purbeck Stone)","Haysom Purbeck Stone, Kingston Road, Langton Matravers, SWANAGE, Dorset, BH19 3JP",01929 439205,01929 439268,haysom@purbeckstone.co.uk,https://purbeckstone.co.uk/
California Quarry,SY 017 773,Swanage,"Herston, SWANAGE, Dorset, BH19 2QS",Suttle Stone Quarries,Limestone,Cretaceous,"Stair Hole Member, Durlston Formation (Purbeck Stone)","Suttle Purbeck Stone, California Quarry, Off Panorama Road, SWANAGE, Dorset, BH19 2RS",01929 423576,01929 427656,purbeckstone@suttles.co.uk,https://www.suttles.co.uk/suttle-purbeck-stone/
